ID,Asset,Log
41,SSH,sshd[25928]: Successful authentication for admin from 172.18.193.100 port 53730
42,Application,Special privileges assigned to new logon: User: INTERNAL\git Privileges: SeBackupPrivilege
43,Linux,2025/05/22 08:33:44 k8s-worker-01 sudo: pam_unix(sudo:session): session opened for user deploy by helpdesk(uid=1085)
44,WebServer,2025-05-03T05:41:25.614204Z ad-controller-01 nginx[30799]: User 'app_user' logged in successfully from 198.51.100.72.193
45,SSH,2025/05/08 16:15:03 k8s-master-01 sshd[50429]: Accepted password for postgres from 192.168.160.40 port 47816 ssh2
46,Linux,[17/May/2025:04:00:49 +0000] k8s-worker-01 sudo: pam_unix(sudo:session): session opened for user john by mary(uid=1592)
47,Linux,May 01 18:54:11 k8s-master-01 systemd-logind[39803]: New session 708 of user devops.
48,Windows,Windows Logon: User INTERNAL\sysadmin logged on successfully from 100.64.28.111
49,Database,2025/04/29 23:07:30 backup-server mysql[29540]: Access granted for user 'app_user'@'172.18.158.207' (using password: YES)
50,SSH,2025/05/20 10:53:31 monitoring-01 sshd[58778]: pam_unix(sshd:session): session opened for user postgres by (uid=0)
51,Windows,[11/May/2025:01:59:16 +0000] web-prod-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-110644-9464 Logon Type: 11
52,SSH,sshd[15522]: pam_unix(sshd:session): session opened for user audit by (uid=0)
53,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-836996-8434 Logon Type: 7
54,Linux,su[15180]: Successful su for monitoring by oracle
55,WebServer,[17/May/2025:00:36:07 +0000] db-master nginx[24650]: User 'david' logged in successfully from 2001:db8::2230
56,SSH,Apr 30 20:19:16 auth-server sshd[19634]: Successful authentication for monitoring from 172.16.248.14 port 48273
57,SSH,2025-05-07 03:29:58 k8s-worker-01 sshd[10777]: Accepted keyboard-interactive for dbuser from 2001:db8::fe3 port 43881 ssh2: RSA SHA256:e13791d2e46c
58,Database,mongodb[20487]: Successfully authenticated as principal replication on admin
59,Linux,2025-05-21 22:18:19 proxy-01 gdm-password][14829]: pam_unix(gdm-password:session): session opened for user netadmin by (uid=0)
60,WebServer,2025-05-05 16:17:40 backup-server apache2[16170]: Auth: user dbadmin@TEST : authentication successful
61,Linux,su[55174]: + pts/2 user:test
62,Windows,[24/May/2025:03:41:51 +0000] gitlab-runner-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-230394-8679 Logon Type: 10
63,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-195763-4750 Logon Type: 2
64,Linux,sudo: oracle : TTY=pts/2 ; PWD=/home/oracle ; USER=gitlab ; COMMAND=/bin/cat /etc/passwd
65,SSH,2025-05-05 09:51:59 web-prod-02 sshd[23803]: User www-data from 10.0.220.42 authenticated successfully
66,Database,postgres[21612]: LOG:  connection authorized: user=readonly database=test
67,Database,[22/May/2025:13:15:51 +0000] db-master mongodb[4552]: Successfully authenticated as principal app_user on master
68,SSH,sshd[53383]: Successful authentication for mary from 192.168.142.105 port 43054
69,SSH,[30/Apr/2025:07:14:32 +0000] loadbalancer sshd[63066]: User sysadmin from 100.64.239.184 authenticated successfully
70,Linux,sudo: zabbix : TTY=pts/2 ; PWD=/home/zabbix ; USER=analyst ; COMMAND=/bin/bash
71,Database,Oracle Audit: LOGON: USER: 'replication' PRIVILEGE: 'SYSOPER' SUCCESS
72,Database,mysql[30264]: Access granted for user 'replication'@'198.51.100.117.239' (using password: YES)
73,Linux,sudo: pam_unix(sudo:session): session opened for user jenkins by administrator(uid=1722)
74,Database,mongodb[44495]: Successfully authenticated as principal app_user on admin
75,Database,[18/May/2025:12:05:03 +0000] ad-controller-01 postgres[35468]: LOG:  connection authorized: user=backup database=production
76,SSH,2025/05/07 20:29:07 backup-server sshd[56859]: pam_unix(sshd:session): session opened for user system by (uid=0)
77,SSH,2025/05/16 21:26:25 k8s-worker-02 sshd[65116]: User devops from 10.0.114.43 authenticated successfully
78,Linux,2025-04-29T10:05:04.615224Z proxy-01 su[35810]: Successful su for support by security
79,Application,Special privileges assigned to new logon: User: INTERNAL\backup Privileges: SeDebugPrivilege
80,Application,[14/May/2025:07:38:32 +0000] auth-server Special privileges assigned to new logon: User: INTERNAL\helpdesk Privileges: SeDebugPrivilege
81,Application,[03/May/2025:20:46:09 +0000] jenkins-master httpd[20390]: Successful login: user=audit ip=2001:db8::1955 session=d602eecd
82,Linux,sudo: pam_unix(sudo:session): session opened for user jennifer by devops(uid=1694)
83,Linux,May 08 10:58:39 jenkins-master gdm-password][7367]: pam_unix(gdm-password:session): session opened for user devops by (uid=0)
84,Other,tomcat[12510]: User [sarah] successfully authenticated via SAML
85,Database,Oracle Audit: LOGON: USER: 'readonly' PRIVILEGE: 'SYSDBA' SUCCESS
86,Database,[03/May/2025:01:28:10 +0000] ad-controller-01 mysql[24971]: User dbadmin connected to database admin from 2001:db8::2258
87,WebServer,[12/May/2025:00:25:06 +0000] db-master apache2[45226]: Auth: user jennifer@corp.local : authentication successful
88,Linux,systemd-logind[63014]: New session 39 of user dbuser.
89,Linux,sudo: audit : TTY=pts/8 ; PWD=/home/audit ; USER=netadmin ; COMMAND=/bin/cat /etc/passwd
90,Linux,2025/05/20 08:16:32 db-master sudo: developer : TTY=pts/6 ; PWD=/home/developer ; USER=nagios ; COMMAND=/usr/bin/vim
91,Application,httpd[60093]: Successful login: user=sysadmin ip=2001:db8::11a9 session=286d786a
92,SSH,sshd[43054]: Accepted keyboard-interactive for analyst from 192.168.202.86 port 47981 ssh2: RSA SHA256:48ea10cd7549
93,Linux,systemd-logind[55382]: New session 784 of user operator.
94,WebServer,nginx[52684]: User 'analyst' logged in successfully from 172.16.253.34
95,Linux,May 21 23:18:14 app-server-01 systemd-logind[24477]: New session 809 of user postgres.
96,Database,mongodb[51988]: Successfully authenticated as principal readonly on master
97,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-774591-1510 Logon Type: 10
98,SSH,2025/05/16 10:06:14 vpn-gateway sshd[22109]: Accepted keyboard-interactive for bob from 2001:db8::119a port 60457 ssh2
99,Windows,Windows Logon: User WORKGROUP\sysadmin logged on successfully from 172.17.111.116
100,Database,[26/Apr/2025:18:00:48 +0000] app-server-01 Oracle Audit: LOGON: USER: 'backup' PRIVILEGE: 'NORMAL' SUCCESS
101,SSH,sshd[7109]: Accepted publickey for demo from 203.0.113.208.34 port 58231 ssh2
102,Windows,2025-05-15T19:08:15.615224Z db-slave-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-530764-6793 Logon Type: 2
103,Database,2025-05-13 04:54:55 ldap-master mysql[56527]: Access granted for user 'dbadmin'@'203.0.113.30.196' (using password: YES)
104,Windows,[21/May/2025:18:08:05 +0000] app-server-01 Logon Type: 11. New Logon: Security ID: S-1-5-21-789786-5381 Account Name: root Account Domain: CORPORATE
105,Linux,2025/05/16 17:21:28 auth-server gdm-password][42495]: pam_unix(gdm-password:session): session opened for user root by (uid=0)
106,Windows,2025/05/11 03:16:21 file-server Logon Type: 2. New Logon: Security ID: S-1-5-21-263137-3579 Account Name: developer Account Domain: CORPORATE
107,Windows,2025/05/07 21:44:34 file-server Logon Type: 7. New Logon: Security ID: S-1-5-21-550797-2816 Account Name: dbadmin Account Domain: WORKGROUP
108,Linux,2025-05-22T10:10:02.615224Z proxy-02 login[17745]: pam_unix(login:session): session opened for user app_user by LOGIN(uid=0)
109,Windows,May 04 02:18:29 k8s-worker-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-516359-1693 Logon Type: 2
110,SSH,2025/05/10 20:18:52 gitlab-runner-01 sshd[12263]: pam_unix(sshd:session): session opened for user backup by (uid=0)
111,Linux,su[52060]: + pts/1 zabbix:test
112,WebServer,[12/May/2025:03:56:10 +0000] auth-server nginx[16484]: User 'demo' logged in successfully from 172.16.155.40
113,Windows,May 24 13:15:19 web-prod-02 An account was successfully logged on. Subject: Security ID: S-1-5-21-258290-8205 Logon Type: 7
114,Application,"2025-05-20 12:06:17 db-slave-01 [INFO] SecurityManager - Login successful for user: sysadmin, IP: 198.51.100.119.149"
115,SSH,2025/05/10 03:34:24 jenkins-master sshd[7783]: User guest from 172.16.11.64 authenticated successfully
116,Database,2025-05-05 10:26:31 db-slave-01 mongodb[51755]: Successfully authenticated as principal readonly on master
117,WebServer,apache2[39190]: Auth: user netadmin@PROD : authentication successful
118,WebServer,[26/Apr/2025:16:22:58 +0000] file-server nginx[25686]: Successful login: user=sysadmin ip=10.0.166.172 session=3cee2079
119,Linux,[02/May/2025:03:36:09 +0000] db-slave-01 su[11154]: Successful su for dbadmin by demo
120,Linux,2025/05/03 15:16:08 vpn-gateway su[55483]: Successful su for developer by mary
121,Linux,sudo: pam_unix(sudo:session): session opened for user monitoring by sarah(uid=1472)
122,Other,2025-05-15 04:45:41 db-master mariadb[35567]: User backup connected to database development from 172.16.224.65
123,WebServer,apache2[51011]: Auth: user mary@TEST : authentication successful
124,SSH,sshd[4490]: User zabbix from 198.51.100.21.96 authenticated successfully
125,WebServer,2025-05-24T22:28:34.615224Z loadbalancer nginx[10017]: User 'administrator' logged in successfully from 100.64.179.213
126,Windows,[07/May/2025:08:40:40 +0000] ldap-master Windows Logon: User INTERNAL\postgres logged on successfully from 2001:db8::1adf
127,Windows,May 13 17:02:05 proxy-02 Logon Type: 11. New Logon: Security ID: S-1-5-21-702980-4963 Account Name: bob Account Domain: INTERNAL
128,WebServer,May 01 20:22:32 auth-server apache2[63482]: Auth: user service@CORPORATE : authentication successful
129,WebServer,nginx[3905]: User 'nginx' logged in successfully from 172.16.213.200
130,SSH,May 14 05:14:31 ad-controller-01 sshd[3423]: User sarah from 2001:db8::cc5 authenticated successfully
131,Linux,su[24394]: + pts/5 sysadmin:user
132,Database,mongodb[49713]: Successfully authenticated as principal backup on admin
133,Windows,2025/05/24 12:02:29 vpn-gateway An account was successfully logged on. Subject: Security ID: S-1-5-21-862400-7955 Logon Type: 2
134,Windows,[01/May/2025:21:40:05 +0000] k8s-master-01 Windows Logon: User INTERNAL\nginx logged on successfully from 203.0.113.158.112
135,Application,Special privileges assigned to new logon: User: CORPORATE\administrator Privileges: SeBackupPrivilege
136,SSH,2025-05-14T12:03:30.615224Z db-master sshd[11055]: Successful authentication for gitlab from 203.0.113.114.196 port 42519
137,SSH,[07/May/2025:12:59:49 +0000] file-server sshd[33705]: Accepted keyboard-interactive for web_admin from 10.0.68.199 port 48529 ssh2: RSA SHA256:d248d35b5d75
138,SSH,sshd[56890]: Accepted password for gitlab from 100.64.23.208 port 62345 ssh2: RSA SHA256:ccb63fd9f8dc
139,WebServer,[20/May/2025:18:28:57 +0000] web-prod-01 apache2[37044]: Auth: user system@TEST : authentication successful
140,Application,httpd[38504]: Successful login: user=apache ip=172.16.157.227 session=18bbd11f
141,Database,2025-05-05 06:22:39 ad-controller-01 postgres[27921]: User backup connected to database master from 2001:db8::144b
142,Application,Special privileges assigned to new logon: User: CORPORATE\user Privileges: SeDebugPrivilege
143,Linux,2025/05/09 14:36:07 ldap-master su[63094]: + pts/1 dbadmin:service
144,Windows,2025-04-30 22:39:45 monitoring-01 Logon Type: 11. New Logon: Security ID: S-1-5-21-772124-3762 Account Name: helpdesk Account Domain: WORKGROUP
145,Linux,2025-05-17T02:25:17.615224Z k8s-worker-01 login[38495]: pam_unix(login:session): session opened for user developer by LOGIN(uid=0)
146,Other,2025/05/04 11:57:52 k8s-worker-01 tomcat[5782]: User [audit] successfully authenticated via OAuth
147,Linux,May 12 15:35:41 jenkins-master login[25283]: pam_unix(login:session): session opened for user operator by LOGIN(uid=0)
148,Database,mysql[28402]: User app_user connected to database development from 203.0.113.49.196
149,Database,mongodb[58611]: Successfully authenticated as principal readonly on admin
150,Linux,2025/04/29 19:17:39 k8s-master-01 sudo: pam_unix(sudo:session): session opened for user user by dbadmin(uid=1292)
151,Database,2025-05-12 05:26:55 ldap-master Oracle Audit: LOGON: USER: 'backup' PRIVILEGE: 'NORMAL' SUCCESS
152,SSH,May 10 10:12:45 web-prod-02 sshd[64903]: Accepted password for deploy from 203.0.113.143.241 port 51980 ssh2: RSA SHA256:f9006930d2bc
153,Linux,gdm-password][22826]: pam_unix(gdm-password:session): session opened for user monitoring by (uid=0)
154,Linux,2025-04-30 06:10:16 jenkins-master su[62038]: + pts/6 mary:app_user
155,Database,2025-05-07 07:28:06 auth-server postgres[25140]: LOG:  connection authorized: user=readonly database=production
156,Linux,gdm-password][4365]: pam_unix(gdm-password:session): session opened for user monitoring by (uid=0)
157,Linux,[22/May/2025:09:00:34 +0000] proxy-02 systemd-logind[38523]: New session 971 of user audit.
158,Windows,2025/05/21 07:46:13 loadbalancer Windows Logon: User CORPORATE\service logged on successfully from 100.64.135.97
159,Application,"[INFO] SecurityManager - Login successful for user: monitoring, IP: 172.18.143.77"
160,Database,2025-04-28T09:52:25.616226Z jenkins-master Oracle Audit: LOGON: USER: 'readonly' PRIVILEGE: 'SYSOPER' SUCCESS
161,SSH,2025/05/09 13:45:12 db-slave-01 sshd[63607]: pam_unix(sshd:session): session opened for user guest by (uid=0)
162,SSH,2025-05-11T19:00:58.616226Z web-prod-01 sshd[49555]: Successful authentication for postgres from 172.17.164.60 port 41720
163,Application,2025-04-27T20:03:11.616226Z loadbalancer Special privileges assigned to new logon: User: WORKGROUP\monitoring Privileges: SeBackupPrivilege
164,SSH,sshd[28386]: Accepted password for administrator from 198.51.100.202.127 port 46105 ssh2: RSA SHA256:25e0517af9be
165,WebServer,[20/May/2025:19:23:37 +0000] ad-controller-01 apache2[1607]: Auth: user dbuser@INTERNAL : authentication successful
166,WebServer,[05/May/2025:19:33:39 +0000] gitlab-runner-01 nginx[1923]: User 'www-data' logged in successfully from 172.17.45.157
167,Linux,2025/05/08 22:28:06 backup-server systemd-logind[18090]: New session 393 of user postgres.
168,SSH,[07/May/2025:15:30:39 +0000] db-slave-01 sshd[31500]: Accepted publickey for mary from 172.18.177.31 port 60929 ssh2
169,Other,mariadb[25485]: User backup connected to database master from 172.17.196.64
170,SSH,2025-05-10T16:08:13.616226Z mail-server sshd[30278]: Successful authentication for apache from 2001:db8::241c port 43676
171,Application,[12/May/2025:04:41:12 +0000] jenkins-master httpd[29956]: Successful login: user=john ip=100.64.24.231 session=ec9238bb
172,SSH,sshd[17676]: User michael from 192.168.109.89 authenticated successfully
173,SSH,[28/Apr/2025:10:15:52 +0000] k8s-worker-01 sshd[3079]: User jenkins from 172.16.197.165 authenticated successfully
174,SSH,sshd[9715]: Successful authentication for nginx from 198.51.100.136.33 port 63850
175,SSH,May 19 22:56:40 k8s-worker-02 sshd[31343]: pam_unix(sshd:session): session opened for user system by (uid=0)
176,Windows,May 12 15:10:34 db-slave-01 Logon Type: 3. New Logon: Security ID: S-1-5-21-316092-2102 Account Name: demo Account Domain: WORKGROUP
177,Windows,2025/05/05 06:30:21 monitoring-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-955413-6224 Logon Type: 3
178,SSH,sshd[63162]: Successful authentication for david from 198.51.100.143.127 port 41536
179,Database,2025-05-19T12:50:02.616226Z vpn-gateway mysql[21888]: User backup connected to database admin from 198.51.100.48.194
180,SSH,2025-05-12T11:39:13.616226Z web-prod-02 sshd[28045]: Successful authentication for operator from 198.51.100.63.66 port 46662
181,Other,tomcat[45149]: User [analyst] successfully authenticated via OAuth
182,WebServer,2025-05-02 13:20:18 ad-controller-01 apache2[14881]: Auth: user sarah@INTERNAL : authentication successful
183,Application,"May 08 14:57:38 monitoring-01 [INFO] SecurityManager - Login successful for user: apache, IP: 100.64.195.215"
184,Windows,[05/May/2025:12:27:59 +0000] ad-controller-01 Windows Logon: User CORPORATE\www-data logged on successfully from 172.17.128.141
185,Database,mongodb[12025]: Successfully authenticated as principal readonly on development
186,Windows,May 20 06:15:24 ldap-master Logon Type: 2. New Logon: Security ID: S-1-5-21-957730-1794 Account Name: admin Account Domain: INTERNAL
187,Windows,Windows Logon: User WORKGROUP\system logged on successfully from 2001:db8::21e2
188,Windows,[30/Apr/2025:11:26:57 +0000] app-server-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-626611-8054 Logon Type: 2
189,Other,May 09 07:41:07 mail-server tomcat[31080]: User [support] successfully authenticated via LDAP
190,SSH,sshd[56399]: User sysadmin from 10.0.230.136 authenticated successfully
191,Windows,Windows Logon: User INTERNAL\security logged on successfully from 192.168.46.238
192,SSH,sshd[39471]: Accepted password for deploy from 172.18.42.145 port 47879 ssh2: RSA SHA256:3f0db1cea3f3
193,Windows,2025-04-30 20:23:09 ldap-master An account was successfully logged on. Subject: Security ID: S-1-5-21-892313-3292 Logon Type: 10
194,Database,2025-05-08 01:20:42 jenkins-master Oracle Audit: LOGON: USER: 'readonly' PRIVILEGE: 'NORMAL' SUCCESS
195,Linux,2025/05/15 19:39:47 vpn-gateway gdm-password][5817]: pam_unix(gdm-password:session): session opened for user oracle by (uid=0)
196,Application,"2025/05/24 03:05:57 k8s-worker-01 [INFO] SecurityManager - Login successful for user: alice, IP: 100.64.143.143"
197,SSH,2025-05-18T13:27:16.616226Z app-server-01 sshd[28119]: pam_unix(sshd:session): session opened for user guest by (uid=0)
198,Linux,sudo: monitoring : TTY=pts/1 ; PWD=/home/monitoring ; USER=dbuser ; COMMAND=/usr/bin/vim
199,Database,mysql[41414]: User app_user connected to database admin from 172.18.2.243
200,Database,2025/05/16 17:19:27 ad-controller-01 Oracle Audit: LOGON: USER: 'readonly' PRIVILEGE: 'SYSOPER' SUCCESS
201,Database,2025-05-09 17:00:58 web-prod-01 postgres[52247]: User app_user connected to database test from 198.51.100.94.30
202,Database,[18/May/2025:01:35:02 +0000] k8s-worker-01 mysql[29734]: Access granted for user 'readonly'@'198.51.100.173.128' (using password: YES)
203,SSH,sshd[40186]: User helpdesk from 198.51.100.140.10 authenticated successfully
204,Windows,[06/May/2025:09:56:26 +0000] db-master Logon Type: 2. New Logon: Security ID: S-1-5-21-906306-5067 Account Name: netadmin Account Domain: WORKGROUP
205,SSH,May 04 06:35:25 proxy-01 sshd[17956]: Accepted password for zabbix from 172.17.115.96 port 52816 ssh2
206,SSH,[11/May/2025:11:14:41 +0000] vpn-gateway sshd[28261]: pam_unix(sshd:session): session opened for user john by (uid=0)
207,WebServer,apache2[20678]: Auth: user administrator@INTERNAL : authentication successful
208,Application,2025-05-05 09:19:46 file-server Special privileges assigned to new logon: User: INTERNAL\operator Privileges: SeRestorePrivilege
209,Database,2025/05/01 05:33:24 file-server postgres[29151]: User backup connected to database production from 172.17.72.193
210,Database,2025-05-15 10:50:18 mail-server postgres[18193]: LOG:  connection authorized: user=backup database=master
211,WebServer,[13/May/2025:03:36:11 +0000] k8s-worker-02 nginx[39677]: Successful login: user=guest ip=172.17.79.30 session=2ec575db
212,Linux,2025-05-21 11:51:19 web-prod-02 sudo: sysadmin : TTY=pts/2 ; PWD=/home/sysadmin ; USER=audit ; COMMAND=/bin/su
213,WebServer,2025-05-21T20:08:46.616226Z jenkins-master apache2[32759]: Auth: user alice@DEV : authentication successful
214,SSH,2025-05-23 04:37:30 k8s-master-01 sshd[15735]: pam_unix(sshd:session): session opened for user dbadmin by (uid=0)
215,Windows,Logon Type: 10. New Logon: Security ID: S-1-5-21-672892-4580 Account Name: git Account Domain: CORPORATE
216,Database,Oracle Audit: LOGON: USER: 'dbadmin' PRIVILEGE: 'SYSDBA' SUCCESS
217,Windows,2025-05-09T14:06:13.616226Z gitlab-runner-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-763508-8015 Logon Type: 11
218,Database,"2025-05-22T00:23:54.616226Z k8s-worker-01 [INFO] SecurityManager - Login successful for user: oracle, IP: 198.51.100.236.16"
219,Database,2025/05/17 23:44:51 vpn-gateway mysql[38842]: Access granted for user 'readonly'@'10.0.163.204' (using password: YES)
220,Database,Oracle Audit: LOGON: USER: 'dbadmin' PRIVILEGE: 'SYSOPER' SUCCESS
221,Windows,Apr 29 06:54:26 web-prod-02 Windows Logon: User INTERNAL\nagios logged on successfully from 203.0.113.141.148
222,SSH,2025/05/22 02:25:37 app-server-01 sshd[2067]: User mary from 192.168.254.246 authenticated successfully
223,Application,"[INFO] SecurityManager - Login successful for user: apache, IP: 2001:db8::138e"
224,SSH,[29/Apr/2025:09:00:39 +0000] app-server-01 sshd[32248]: Accepted password for alice from 100.64.3.3 port 62793 ssh2: RSA SHA256:164e36bdce9e
225,Linux,2025-05-14T18:03:04.617227Z app-server-01 sudo: demo : TTY=pts/5 ; PWD=/home/demo ; USER=demo ; COMMAND=/usr/bin/vim
226,Windows,May 12 16:38:50 db-slave-01 Logon Type: 11. New Logon: Security ID: S-1-5-21-781595-3688 Account Name: gitlab Account Domain: INTERNAL
227,SSH,2025-05-09 03:06:01 jenkins-master sshd[48841]: Successful authentication for nginx from 203.0.113.203.36 port 48119
228,SSH,sshd[14464]: pam_unix(sshd:session): session opened for user analyst by (uid=0)
229,Linux,sudo: nagios : TTY=pts/9 ; PWD=/home/nagios ; USER=postgres ; COMMAND=/bin/bash
230,SSH,May 02 20:43:10 web-prod-01 sshd[62205]: pam_unix(sshd:session): session opened for user alice by (uid=0)
231,WebServer,May 22 14:39:28 proxy-02 nginx[3610]: User 'user' logged in successfully from 198.51.100.109.180
232,Linux,May 03 15:41:32 k8s-worker-02 login[11182]: pam_unix(login:session): session opened for user app_user by LOGIN(uid=0)
233,SSH,2025/05/11 11:11:14 mail-server sshd[41127]: User user from 172.16.31.4 authenticated successfully
234,Database,[08/May/2025:02:40:16 +0000] proxy-02 nginx[50137]: User 'oracle' logged in successfully from 192.168.86.207
235,WebServer,[29/Apr/2025:22:29:45 +0000] k8s-master-01 apache2[33742]: Auth: user support@PROD : authentication successful
236,Database,mysql[12728]: Access granted for user 'dbadmin'@'198.51.100.58.83' (using password: YES)
237,Application,"2025-05-17 13:24:42 vpn-gateway [INFO] SecurityManager - Login successful for user: test, IP: 192.168.46.58"
238,SSH,sshd[14151]: pam_unix(sshd:session): session opened for user support by (uid=0)
239,Linux,May 15 01:51:03 gitlab-runner-01 gdm-password][60011]: pam_unix(gdm-password:session): session opened for user postgres by (uid=0)
240,SSH,2025-05-18T20:41:49.617227Z proxy-02 sshd[56640]: User dbuser from 172.17.108.126 authenticated successfully
241,Database,2025-05-08T21:17:05.617227Z backup-server Oracle Audit: LOGON: USER: 'dbadmin' PRIVILEGE: 'SYSOPER' SUCCESS
242,Application,"May 02 04:38:38 mail-server [INFO] SecurityManager - Login successful for user: app_user, IP: 203.0.113.82.116"
243,Database,mongodb[21580]: Successfully authenticated as principal backup on production
244,SSH,sshd[53926]: Accepted keyboard-interactive for dbuser from 192.168.56.214 port 50741 ssh2: RSA SHA256:9a6957fecb64
245,Other,2025-05-23T08:37:56.617227Z db-master tomcat[34650]: User [user] successfully authenticated via local
246,SSH,May 08 13:45:55 web-prod-01 sshd[55419]: Accepted password for alice from 198.51.100.96.176 port 60653 ssh2
247,SSH,sshd[60145]: Accepted keyboard-interactive for gitlab from 10.0.232.217 port 50864 ssh2: RSA SHA256:d271f8cbac52
248,SSH,[20/May/2025:17:27:30 +0000] db-slave-01 sshd[61563]: Accepted keyboard-interactive for git from 198.51.100.128.8 port 52541 ssh2: RSA SHA256:ea92f77ed422
249,SSH,2025-05-14 18:18:35 backup-server sshd[41578]: Successful authentication for postgres from 100.64.106.226 port 58044
