ID,Asset,Log
31,Office 365,"{""CreationTime"": ""2025-05-08T13:30:00"", ""Operation"": ""UserLoggedIn"", ""UserId"": ""user030@example.com"", ""ClientIP"": ""192.0.2.210"", ""ResultStatus"": ""Succeeded""}"
32,PostgreSQL,2025-05-08T13:33:00 UTC [3927]: [user031]@hrdb LOG:  connection authorized: user=user031 database=hrdb SSL enabled
33,MySQL,2025-05-08T13:36:00Z  78 Connect user032@192.0.2.224 on payrolldb
34,Apache HTTPD,"192.0.2.231 - user033 [08/May/2025:13:39:00 +0000] ""POST /login HTTP/1.1"" 302 518 ""-"" ""Mozilla/5.0"""
35,SAP NetWeaver,8.May.2025 13:42:00 SAPR3 DEV100 0 USER_LOGON      user034 192.0.2.238 SUCCESS
36,Oracle Listener,8-MAY-2025 13:45:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=192.0.2.245)(PORT=56010)) * establish * user035 * 0
37,Fortinet FortiGate,date=2025-05-08 time=13:48:00 device_id=FGT001 log_id=0100020001 type=event subtype=system level=notice vd=root user=user036 ui=ssh action=login status=success srcip=192.0.2.252
38,Juniper SRX,2025-05-08 13:51:00 srx01 sshd[4946]: Accepted password for user037 from 192.0.2.4 port 58591 ssh2
39,F5 BIG-IP,"May 10 2025 13:54:00 bigip notice tmm[8962]: 01490100:5: AUDIT - user user038 (partition[Common]) from 192.0.2.11, Successful login."
40,GitHub,"{""@timestamp"": ""2025-05-08T13:57:00Z"", ""action"": ""user.login"", ""actor"": ""user039"", ""result"": ""success"", ""ip"": ""192.0.2.18""}"
41,Windows Server,"<Event><System><EventID>4624</EventID></System><EventData><Data Name=""SubjectUserName"">user040</Data><Data Name=""IpAddress"">192.0.2.25</Data></EventData></Event>"
42,Ubuntu SSH,May 08 14:03:00 ubuntu sshd[9645]: Accepted password for user041 from 192.0.2.32 port 59876 ssh2
43,macOS,2025-05-08 loginwindow[9835]: User login succeeded for user user042 (UID 540)
44,Cisco ASA,May 08 2025 14:09:00: %ASA-6-722051: VPN Login: User=user043 IP=192.0.2.46 Duration=00:00:00 GroupPolicy=vpngroup
45,Palo Alto GlobalProtect,"2025/05/08 14:12:00,001801000013,SYSTEM,gplogin,0,2025/05/08 14:12:00,192.0.2.53,10.0.0.1,Login,globalprotect,user=user044,tunnel=yes,result=success"
46,AWS CloudTrail,"{""eventTime"": ""2025-05-08T14:15:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""user045""}, ""sourceIPAddress"": ""192.0.2.60"", ""responseElements"": {""ConsoleLogin"": ""Success""}}"
47,Azure AD,"{""TimeGenerated"": ""2025-05-08T14:18:00Z"", ""UserPrincipalName"": ""user046@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""0"", ""additionalDetails"": ""Success""}, ""IPAddress"": ""192.0.2.67""}"
48,Google Workspace,timestamp=2025-05-08T14:21:00Z event=login login_type=authorized principal=user047@example.com ip_address=192.0.2.74 outcome=SUCCESS
49,Okta,"{""published"": ""2025-05-08T14:24:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""SUCCESS""}, ""actor"": {""displayName"": ""user048""}, ""client"": {""ipAddress"": ""192.0.2.81""}}"
50,Salesforce,"""2025-05-08T14:27:00"",""user049@example.com"",""Login"",""login.salesforce.com"",""Successful"",""192.0.2.88"",""OAuth"""
51,Office 365,"{""CreationTime"": ""2025-05-08T14:30:00"", ""Operation"": ""UserLoggedIn"", ""UserId"": ""user050@example.com"", ""ClientIP"": ""192.0.2.95"", ""ResultStatus"": ""Succeeded""}"
52,PostgreSQL,2025-05-08T14:33:00 UTC [8953]: [user051]@hrdb LOG:  connection authorized: user=user051 database=hrdb SSL enabled
53,MySQL,2025-05-08T14:36:00Z  61 Connect user052@192.0.2.109 on payrolldb
54,Apache HTTPD,"192.0.2.116 - user053 [08/May/2025:14:39:00 +0000] ""POST /login HTTP/1.1"" 302 518 ""-"" ""Mozilla/5.0"""
55,SAP NetWeaver,8.May.2025 14:42:00 SAPR3 DEV100 0 USER_LOGON      user054 192.0.2.123 SUCCESS
56,Oracle Listener,8-MAY-2025 14:45:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=192.0.2.130)(PORT=41775)) * establish * user055 * 0
57,Fortinet FortiGate,date=2025-05-08 time=14:48:00 device_id=FGT001 log_id=0100020001 type=event subtype=system level=notice vd=root user=user056 ui=ssh action=login status=success srcip=192.0.2.137
58,Juniper SRX,2025-05-08 14:51:00 srx01 sshd[6559]: Accepted password for user057 from 192.0.2.144 port 43580 ssh2
59,F5 BIG-IP,"May 10 2025 14:54:00 bigip notice tmm[4116]: 01490100:5: AUDIT - user user058 (partition[Common]) from 192.0.2.151, Successful login."
60,GitHub,"{""@timestamp"": ""2025-05-08T14:57:00Z"", ""action"": ""user.login"", ""actor"": ""user059"", ""result"": ""success"", ""ip"": ""192.0.2.158""}"
61,Windows Server,"<Event><System><EventID>4624</EventID></System><EventData><Data Name=""SubjectUserName"">user060</Data><Data Name=""IpAddress"">192.0.2.165</Data></EventData></Event>"
62,Ubuntu SSH,May 08 15:03:00 ubuntu sshd[2604]: Accepted password for user061 from 192.0.2.172 port 41657 ssh2
63,macOS,2025-05-08 loginwindow[1241]: User login succeeded for user user062 (UID 531)
64,Cisco ASA,May 08 2025 15:09:00: %ASA-6-722051: VPN Login: User=user063 IP=192.0.2.186 Duration=00:00:00 GroupPolicy=vpngroup
65,Palo Alto GlobalProtect,"2025/05/08 15:12:00,001801000013,SYSTEM,gplogin,0,2025/05/08 15:12:00,192.0.2.193,10.0.0.1,Login,globalprotect,user=user064,tunnel=yes,result=success"
66,AWS CloudTrail,"{""eventTime"": ""2025-05-08T15:15:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""user065""}, ""sourceIPAddress"": ""192.0.2.200"", ""responseElements"": {""ConsoleLogin"": ""Success""}}"
67,Azure AD,"{""TimeGenerated"": ""2025-05-08T15:18:00Z"", ""UserPrincipalName"": ""user066@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""0"", ""additionalDetails"": ""Success""}, ""IPAddress"": ""192.0.2.207""}"
68,Google Workspace,timestamp=2025-05-08T15:21:00Z event=login login_type=authorized principal=user067@example.com ip_address=192.0.2.214 outcome=SUCCESS
69,Okta,"{""published"": ""2025-05-08T15:24:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""SUCCESS""}, ""actor"": {""displayName"": ""user068""}, ""client"": {""ipAddress"": ""192.0.2.221""}}"
70,Salesforce,"""2025-05-08T15:27:00"",""user069@example.com"",""Login"",""login.salesforce.com"",""Successful"",""192.0.2.228"",""OAuth"""
71,Office 365,"{""CreationTime"": ""2025-05-08T15:30:00"", ""Operation"": ""UserLoggedIn"", ""UserId"": ""user070@example.com"", ""ClientIP"": ""192.0.2.235"", ""ResultStatus"": ""Succeeded""}"
72,PostgreSQL,2025-05-08T15:33:00 UTC [6138]: [user071]@hrdb LOG:  connection authorized: user=user071 database=hrdb SSL enabled
73,MySQL,2025-05-08T15:36:00Z  68 Connect user072@192.0.2.249 on payrolldb
74,Apache HTTPD,"192.0.2.1 - user073 [08/May/2025:15:39:00 +0000] ""POST /login HTTP/1.1"" 302 518 ""-"" ""Mozilla/5.0"""
75,SAP NetWeaver,8.May.2025 15:42:00 SAPR3 DEV100 0 USER_LOGON      user074 192.0.2.8 SUCCESS
76,Oracle Listener,8-MAY-2025 15:45:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=192.0.2.15)(PORT=53230)) * establish * user075 * 0
77,Fortinet FortiGate,date=2025-05-08 time=15:48:00 device_id=FGT001 log_id=0100020001 type=event subtype=system level=notice vd=root user=user076 ui=ssh action=login status=success srcip=192.0.2.22
78,Juniper SRX,2025-05-08 15:51:00 srx01 sshd[2343]: Accepted password for user077 from 192.0.2.29 port 53737 ssh2
79,F5 BIG-IP,"May 10 2025 15:54:00 bigip notice tmm[9565]: 01490100:5: AUDIT - user user078 (partition[Common]) from 192.0.2.36, Successful login."
80,GitHub,"{""@timestamp"": ""2025-05-08T15:57:00Z"", ""action"": ""user.login"", ""actor"": ""user079"", ""result"": ""success"", ""ip"": ""192.0.2.43""}"
81,Windows Server,"<Event><System><EventID>4624</EventID></System><EventData><Data Name=""SubjectUserName"">user080</Data><Data Name=""IpAddress"">192.0.2.50</Data></EventData></Event>"
82,Ubuntu SSH,May 08 16:03:00 ubuntu sshd[5915]: Accepted password for user081 from 192.0.2.57 port 54982 ssh2
83,macOS,2025-05-08 loginwindow[2188]: User login succeeded for user user082 (UID 580)
84,Cisco ASA,May 08 2025 16:09:00: %ASA-6-722051: VPN Login: User=user083 IP=192.0.2.71 Duration=00:00:00 GroupPolicy=vpngroup
85,Palo Alto GlobalProtect,"2025/05/08 16:12:00,001801000013,SYSTEM,gplogin,0,2025/05/08 16:12:00,192.0.2.78,10.0.0.1,Login,globalprotect,user=user084,tunnel=yes,result=success"
86,AWS CloudTrail,"{""eventTime"": ""2025-05-08T16:15:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""user085""}, ""sourceIPAddress"": ""192.0.2.85"", ""responseElements"": {""ConsoleLogin"": ""Success""}}"
87,Azure AD,"{""TimeGenerated"": ""2025-05-08T16:18:00Z"", ""UserPrincipalName"": ""user086@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""0"", ""additionalDetails"": ""Success""}, ""IPAddress"": ""192.0.2.92""}"
88,Google Workspace,timestamp=2025-05-08T16:21:00Z event=login login_type=authorized principal=user087@example.com ip_address=192.0.2.99 outcome=SUCCESS
89,Okta,"{""published"": ""2025-05-08T16:24:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""SUCCESS""}, ""actor"": {""displayName"": ""user088""}, ""client"": {""ipAddress"": ""192.0.2.106""}}"
90,Salesforce,"""2025-05-08T16:27:00"",""user089@example.com"",""Login"",""login.salesforce.com"",""Successful"",""192.0.2.113"",""OAuth"""
91,Office 365,"{""CreationTime"": ""2025-05-08T16:30:00"", ""Operation"": ""UserLoggedIn"", ""UserId"": ""user090@example.com"", ""ClientIP"": ""192.0.2.120"", ""ResultStatus"": ""Succeeded""}"
92,PostgreSQL,2025-05-08T16:33:00 UTC [3546]: [user091]@hrdb LOG:  connection authorized: user=user091 database=hrdb SSL enabled
93,MySQL,2025-05-08T16:36:00Z  27 Connect user092@192.0.2.134 on payrolldb
94,Apache HTTPD,"192.0.2.141 - user093 [08/May/2025:16:39:00 +0000] ""POST /login HTTP/1.1"" 302 518 ""-"" ""Mozilla/5.0"""
95,SAP NetWeaver,8.May.2025 16:42:00 SAPR3 DEV100 0 USER_LOGON      user094 192.0.2.148 SUCCESS
96,Oracle Listener,8-MAY-2025 16:45:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=192.0.2.155)(PORT=41444)) * establish * user095 * 0
97,Fortinet FortiGate,date=2025-05-08 time=16:48:00 device_id=FGT001 log_id=0100020001 type=event subtype=system level=notice vd=root user=user096 ui=ssh action=login status=success srcip=192.0.2.162
98,Juniper SRX,2025-05-08 16:51:00 srx01 sshd[8239]: Accepted password for user097 from 192.0.2.169 port 58077 ssh2
99,F5 BIG-IP,"May 10 2025 16:54:00 bigip notice tmm[1158]: 01490100:5: AUDIT - user user098 (partition[Common]) from 192.0.2.176, Successful login."
100,GitHub,"{""@timestamp"": ""2025-05-08T16:57:00Z"", ""action"": ""user.login"", ""actor"": ""user099"", ""result"": ""success"", ""ip"": ""192.0.2.183""}"
